Bank_ID,Number_of_Cybersecurity_Incidents,Average_Response_Time_hours,Cost_of_Breaches_millions,Compliance_with_Security_Standards,User_Awareness_Levels_percent,Number_of_Phishing_Incidents,Number_of_Malware_Incidents,Number_of_Ransomware_Incidents,Average_Detection_Time_hours,Number_of_Employees_in_IT_Security,Annual_Cybersecurity_Budget_millions,Number_of_Security_Audits_Conducted_Annually,Number_of_Security_Tools_Deployed
1,213,3.661728063355186,13.100492453109354,1,91.98100551612421,93,29,14,2.5310152631934377,34,12.697019512818114,8,12
2,122,3.3016933139347033,87.2874523425578,0,88.50654267895544,70,81,4,2.2288738321668986,43,34.80222288836225,1,13
3,280,3.9467886286010323,52.42271283866639,0,70.08735153501367,81,82,8,2.4455025494539937,17,28.712651952829763,9,7
4,292,2.481584619128544,33.17107101392489,1,70.28259567917335,80,80,8,4.906678395238891,20,4.796804075074081,7,16
5,196,2.630546657650181,30.185758789439134,1,94.26378919578082,79,87,16,0.8988483863731134,48,8.968786519470136,2,16
6,87,8.11621991710151,46.04100309838445,0,77.78199216405562,20,37,10,4.650038914274284,75,20.0144142328623,6,7
7,119,4.462593188567005,99.90970231984628,0,89.08401003184197,91,11,17,2.66106521061962,31,10.094599133816224,8,19
8,165,4.923956625135272,25.931102376570344,1,83.62643259295743,98,52,1,3.306840104747935,49,39.8188950149525,5,5
9,288,6.3464451901013,14.805581643504963,0,95.90290043565301,72,17,18,4.235823349779622,39,21.38744154211072,6,6
10,128,6.306881456363929,60.57834102827288,1,97.50883339307467,30,22,10,2.12208363117165,83,5.578161475282464,8,11
11,234,1.6063918436973315,51.411534311824425,0,99.90423138036562,12,94,4,2.436898586395851,32,24.732802211334118,6,7
12,197,8.48386707703899,54.7986457510142,1,74.61052407421741,91,44,1,2.342833161254213,11,5.451070872009295,9,11
13,58,2.595938979015455,68.35886466793562,1,95.88892139426426,97,32,4,2.186289601410919,66,7.317927965571042,9,9
14,81,7.50764472444702,30.378686637711684,0,77.98064130186405,19,55,4,4.664881947411027,55,12.74088176938206,9,14
15,181,7.954038893153499,91.5131745614694,1,87.72447624686524,36,24,4,4.230184510368554,50,43.116857557127,6,12
16,99,7.434095806821823,46.38884628161758,0,85.17318501607633,21,11,17,0.9904999543833924,24,46.30601408431562,9,9
17,131,6.210798818987307,17.263188538533868,0,70.53964394717163,16,70,9,0.9865550861469321,42,41.48662873727139,3,7
18,54,1.1314809739799458,75.51838188972471,0,97.98313839718284,26,85,19,2.4254128168384606,65,17.369783653474514,5,13
19,197,4.2433794312685365,66.09491349869577,0,72.34981165447655,74,73,13,0.9439581952976408,36,14.34987561433275,2,19
20,136,6.4435548642632305,34.99562323598352,1,90.64656758223208,73,61,4,3.2859189287200383,30,27.90862884872172,8,11
21,175,4.487061663302848,64.0442787832346,0,93.55020508624786,35,45,5,1.1466122326778025,62,36.370804866122505,4,9
22,124,8.771319054215319,25.886885855052803,0,93.85863547143053,24,76,13,2.850679687850605,43,49.675266619848564,6,11
23,214,3.779220478146538,47.25973913735031,0,74.06483556786534,42,78,16,0.5324897615167299,24,7.446964882067385,6,15
24,71,3.641813132127944,90.4441896058959,0,83.42709851523917,71,76,5,1.9246835678569103,86,3.415307952166417,5,14
25,235,3.3939792378339217,17.685752150271195,1,94.88286611301939,56,56,8,3.5473582565269495,54,35.02343856076828,1,13
26,117,3.9950278206471594,41.73616274880889,0,79.08037631136264,44,92,16,2.678175231025318,83,41.77906339169137,7,9
27,270,6.016644678827685,83.00853034843298,1,84.0324602612399,74,11,1,4.902212686995447,56,42.47109021345474,8,11
28,93,7.363137648453317,97.10163544358693,1,78.18381678099537,81,53,6,4.433467082297948,90,34.24471390478087,1,15
29,83,6.963111259649066,48.12298296007061,1,83.90654253655973,85,73,11,2.1158185056941807,26,47.74677440184016,7,13
30,126,8.269460379833315,53.164963913618,0,96.6351376777864,92,90,16,0.7046894366252356,57,26.03923341368476,4,5
31,91,8.973225959476824,59.35633636945813,0,83.65372693098308,34,87,5,4.3053183505175845,89,45.77692511847441,6,8
32,186,8.34471138109016,93.57307345520253,0,86.67736051222961,66,37,16,4.600554396416022,70,48.422794712584626,9,5
33,155,1.1705086303691912,86.52964514281783,0,82.1192884990925,41,63,7,4.192823270385666,47,42.51071539315228,5,12
34,144,7.623261581967899,21.207106839056213,1,83.80351549609976,72,83,19,1.0757747341389419,86,16.178169599672408,8,7
35,184,2.8755961625649844,46.49199269547213,1,70.45522597139265,21,76,1,4.990618104855295,27,10.614566907344468,5,6
36,117,2.1963523843718438,49.080040678660495,0,78.51236529881368,72,45,9,1.6636289969874822,81,27.857883184109102,2,18
37,196,6.74639906319222,79.96413060663188,0,83.09745165225473,86,72,18,3.758922107637665,68,23.197722768629234,4,8
38,283,3.877688758669254,62.27482384751635,0,89.01390927978187,10,34,13,4.586156943510747,13,44.01015876744392,2,15
39,271,1.5140544703339893,67.15094389275623,0,83.50155791661676,60,95,15,1.5605920144881924,11,5.901551882290532,7,7
40,208,2.238667609585252,99.82899122823368,0,80.13451129964692,79,57,3,4.587163496046797,45,13.629263004264413,7,15
41,177,1.0083647518296495,12.12120412965124,0,81.64296206032472,17,48,10,1.8926671063769014,58,37.83814828141672,3,9
42,212,9.129012646102366,26.185933235704635,0,77.268799876014,77,56,9,4.893859500728253,69,5.654345603888294,7,19
43,234,1.2215618545711473,43.75011405029695,1,97.73482848322159,14,30,13,1.7656700917121357,6,16.71745628706331,1,17
