Customer_ID,Year,Customer_Satisfaction_Score,Net_Promoter_Score,Customer_Feedback_Volume,Service_Interaction_Quality,Response_Time_Minutes,Resolution_Time_Minutes,Repeat_Purchase_Rate,Customer_Loyalty_Metric,Customer_Age,Customer_Gender,Customer_Income,Customer_Region,Issue_Category
1,2011,7,6,3,3,15,53,91,5,48,Other,60000,Midwest,Billing
2,2019,5,0,6,1,6,569,61,3,35,Female,60000,Midwest,Technical
3,2015,5,-17,8,2,54,91,87,10,47,Other,90000,West,Service
4,2012,5,60,7,4,45,520,79,2,49,Male,40000,Midwest,Technical
5,2011,1,-73,5,1,31,302,63,1,57,Female,60000,South,Billing
6,2015,7,35,6,2,38,258,84,10,40,Female,30000,South,Technical
7,2013,5,-100,7,2,7,49,57,5,28,Female,70000,South,Technical
8,2008,8,64,7,3,20,32,51,8,79,Male,90000,East,Technical
9,2012,8,6,5,3,31,450,72,8,37,Female,70000,Midwest,Service
10,2007,9,-79,5,4,8,336,65,3,36,Female,50000,South,Billing
11,2006,7,-31,1,3,27,461,81,7,53,Female,60000,Midwest,Service
12,2016,1,24,2,2,54,165,65,7,69,Female,60000,West,Technical
13,2010,3,48,4,1,24,544,57,2,43,Male,50000,East,Service
14,2006,8,-5,5,5,29,222,63,5,27,Other,90000,West,Service
15,2013,3,6,5,2,34,444,65,3,41,Other,80000,Midwest,Service
16,2016,8,-22,1,1,22,147,99,2,30,Female,60000,Midwest,Technical
17,2016,1,6,3,2,46,238,38,3,78,Male,30000,Midwest,Technical
18,2021,5,-41,5,4,15,63,50,2,69,Female,40000,South,Service
19,2014,4,19,3,3,33,347,93,8,63,Other,40000,Midwest,Billing
20,2020,5,-55,4,2,21,149,90,5,70,Other,60000,West,Billing
21,2019,8,77,3,1,30,554,69,3,51,Male,60000,Midwest,Service
22,2019,10,75,4,3,27,118,85,5,46,Other,40000,North,Billing
23,2016,4,6,1,3,56,541,33,8,53,Female,60000,East,Technical
24,2007,4,-45,8,4,52,322,60,7,24,Male,60000,Midwest,Technical
25,2009,3,9,4,3,24,551,56,6,68,Other,60000,South,Service
26,2011,7,6,5,4,49,313,87,1,47,Female,60000,Midwest,Service
27,2013,3,56,2,5,6,406,54,10,79,Male,50000,Midwest,Service
28,2011,3,98,2,1,28,163,98,1,34,Female,80000,South,Technical
29,2022,10,3,6,2,35,277,99,1,65,Other,80000,West,Service
30,2008,5,-24,2,3,31,347,34,10,30,Female,30000,Midwest,Billing
31,2018,5,45,6,5,6,465,63,8,73,Female,60000,Midwest,Service
32,2022,6,-99,2,3,18,205,38,8,48,Female,40000,North,Service
33,2013,8,-93,4,4,31,380,44,7,71,Other,90000,Midwest,Technical
34,2006,5,-26,7,3,53,172,36,6,72,Male,80000,Midwest,Billing
35,2013,6,81,8,5,17,427,44,4,48,Male,60000,Midwest,Billing
36,2013,1,24,3,2,40,398,66,1,75,Other,30000,East,Billing
37,2016,5,-63,9,2,39,530,68,9,44,Female,70000,Midwest,Technical
38,2012,8,75,2,3,48,399,35,1,67,Female,80000,Midwest,Billing
39,2019,9,-74,5,3,58,411,86,4,38,Other,30000,West,Billing
40,2007,9,-81,8,3,59,322,48,3,48,Male,60000,East,Service
41,2018,5,39,4,4,12,489,92,7,72,Other,60000,North,Service
42,2021,2,-58,1,2,6,354,60,5,74,Male,30000,Midwest,Service
43,2008,3,88,1,2,10,322,39,5,18,Male,50000,West,Billing
44,2022,1,-70,2,2,35,518,96,4,32,Female,70000,Midwest,Service
45,2013,4,-10,9,1,58,426,91,1,20,Other,30000,South,Technical
46,2008,4,-40,2,1,14,384,32,5,23,Male,80000,Midwest,Billing
47,2006,9,94,2,5,48,317,47,4,31,Female,50000,South,Billing
48,2010,9,8,6,3,31,488,63,10,72,Other,30000,Midwest,Technical
49,2014,9,-10,7,3,46,565,49,8,55,Other,40000,Midwest,Billing
50,2013,10,62,5,4,31,320,63,2,50,Female,80000,Midwest,Technical
51,2022,7,-6,9,2,27,197,79,8,69,Male,80000,North,Technical
52,2016,2,42,6,1,7,457,39,1,55,Male,60000,West,Service
53,2006,10,43,8,4,36,519,50,4,25,Female,40000,West,Billing
54,2014,5,-88,6,4,24,384,58,3,43,Male,60000,South,Service
55,2008,4,12,2,1,14,225,39,5,48,Other,60000,East,Billing
56,2018,8,-66,1,3,33,574,42,5,31,Female,60000,South,Service
57,2020,2,86,5,2,45,40,76,5,65,Other,80000,West,Technical
58,2013,6,48,9,3,56,285,52,4,48,Male,70000,West,Technical
59,2012,5,81,5,4,55,425,79,8,72,Other,60000,Midwest,Technical
60,2018,2,57,4,2,50,438,33,5,65,Female,60000,Midwest,Technical
61,2012,5,-53,5,5,38,391,96,4,76,Female,60000,Midwest,Billing
62,2020,5,-66,5,3,41,288,82,1,36,Male,60000,South,Billing
63,2017,8,-15,6,3,24,32,31,7,73,Male,40000,Midwest,Service
64,2022,2,6,3,3,12,113,97,1,50,Female,60000,East,Billing
65,2019,7,58,5,3,11,185,94,2,53,Male,80000,Midwest,Billing
66,2017,5,51,2,1,10,205,86,7,41,Male,50000,North,Service
67,2013,9,13,1,4,31,322,99,1,27,Male,60000,Midwest,Technical
68,2013,8,76,1,2,48,453,36,3,69,Female,40000,South,Service
69,2017,10,6,7,3,22,163,63,6,67,Female,50000,East,Service
70,2005,5,59,2,3,55,409,73,6,51,Other,90000,Midwest,Technical
71,2011,2,6,4,1,46,306,92,6,53,Male,60000,Midwest,Service
72,2013,6,6,5,2,33,265,94,2,64,Other,80000,North,Service
73,2005,4,-2,7,4,29,42,68,2,78,Female,50000,West,Service
74,2016,4,-98,2,5,25,371,63,6,53,Female,30000,Midwest,Billing
75,2012,5,96,6,1,50,64,73,10,33,Male,60000,Midwest,Technical
76,2015,3,-16,1,4,7,588,41,5,32,Male,60000,Midwest,Technical
77,2021,1,24,7,5,22,243,51,7,35,Other,50000,South,Service
78,2012,8,37,9,3,28,441,43,5,24,Female,80000,Midwest,Billing
79,2007,5,-18,5,3,51,434,59,5,64,Other,60000,Midwest,Technical
80,2007,3,-76,5,2,42,523,73,8,39,Other,40000,South,Technical
81,2013,10,-33,4,5,14,188,67,5,49,Other,90000,South,Service
82,2009,7,-40,3,3,31,322,88,6,60,Male,90000,Midwest,Service
83,2014,7,-72,9,3,16,578,71,5,36,Female,40000,Midwest,Service
84,2011,1,6,5,2,11,555,81,4,57,Other,60000,East,Technical
85,2013,9,-82,5,4,21,376,92,7,73,Female,60000,South,Service
86,2013,2,70,5,3,5,308,90,4,18,Female,90000,West,Service
87,2013,5,93,5,1,54,508,63,5,48,Other,70000,Midwest,Service
88,2012,5,-27,9,1,30,140,68,5,22,Female,70000,Midwest,Billing
89,2016,8,-40,2,4,19,460,70,1,67,Male,80000,Midwest,Service
90,2006,8,70,9,5,55,571,66,1,29,Female,80000,North,Technical
91,2005,7,52,4,2,37,144,94,5,29,Other,80000,Midwest,Service
92,2020,7,-81,6,1,41,119,61,3,38,Other,30000,East,Technical
93,2009,6,-53,6,3,51,241,37,2,76,Female,60000,South,Billing
94,2007,6,-14,6,4,35,322,47,2,75,Other,40000,Midwest,Billing
95,2013,9,51,2,5,39,568,74,6,36,Female,60000,Midwest,Service
96,2012,6,38,7,5,5,322,62,1,26,Other,80000,South,Technical
97,2007,2,6,5,4,12,322,34,6,60,Female,30000,East,Service
98,2005,2,82,1,1,16,401,65,5,66,Other,60000,Midwest,Service
99,2007,5,-73,2,2,58,244,52,6,48,Other,60000,South,Technical
100,2009,4,96,7,1,23,44,69,5,53,Male,70000,South,Technical
101,2019,5,90,1,5,31,288,34,7,59,Female,60000,South,Service
102,2018,3,-42,5,1,36,492,63,1,71,Male,70000,South,Technical
103,2007,7,32,5,2,16,149,53,3,64,Other,60000,Midwest,Technical
104,2005,8,6,8,3,17,157,46,6,74,Female,50000,Midwest,Billing
105,2009,6,48,4,1,32,552,100,1,68,Female,80000,Midwest,Billing
106,2018,5,-89,4,4,5,354,51,7,48,Other,90000,Midwest,Billing
107,2011,1,-51,2,3,55,349,44,4,52,Other,30000,Midwest,Technical
108,2013,8,6,1,4,10,535,44,3,48,Other,70000,East,Service
109,2019,3,12,5,4,12,555,54,10,77,Other,60000,North,Technical
110,2019,6,69,7,3,8,79,82,9,70,Female,70000,East,Service
111,2014,3,65,5,1,9,98,50,1,72,Female,70000,Midwest,Billing
112,2013,7,52,6,5,29,420,95,5,49,Female,70000,Midwest,Billing
113,2011,7,-87,2,3,26,412,61,1,79,Female,40000,East,Service
114,2021,9,-69,7,3,31,45,63,5,54,Female,90000,North,Service
115,2008,5,38,2,3,43,468,97,10,49,Female,90000,South,Billing
116,2013,8,88,8,1,31,597,73,8,60,Other,40000,West,Technical
117,2011,5,45,8,4,8,161,95,6,73,Male,40000,Midwest,Billing
118,2017,10,54,1,2,56,589,43,7,54,Female,40000,Midwest,Technical
119,2019,8,-46,8,3,8,322,44,8,56,Female,90000,North,Billing
120,2015,1,81,2,3,31,302,49,6,55,Male,50000,South,Billing
121,2008,5,19,6,5,25,378,63,6,47,Other,70000,South,Service
122,2017,3,-26,1,2,41,513,65,6,75,Female,50000,West,Service
123,2013,1,-80,5,3,45,579,38,5,49,Other,60000,South,Technical
124,2006,4,71,7,3,6,386,100,8,62,Female,90000,North,Technical
125,2014,8,32,5,2,11,347,59,2,19,Female,60000,Midwest,Service
126,2013,3,-14,2,4,53,77,92,5,48,Male,90000,South,Service
127,2010,10,68,7,3,20,39,64,4,28,Male,30000,Midwest,Service
128,2016,2,6,6,5,21,262,42,1,48,Other,50000,Midwest,Technical
129,2016,9,-12,3,2,24,65,63,5,37,Female,40000,North,Technical
130,2015,5,81,5,5,27,442,85,3,54,Other,60000,Midwest,Billing
131,2013,5,49,4,5,38,491,63,4,48,Male,60000,Midwest,Technical
132,2005,7,-18,3,5,15,33,65,7,55,Male,60000,Midwest,Technical
133,2005,2,-36,7,1,31,73,32,5,66,Male,70000,East,Service
134,2017,9,-37,8,3,37,322,48,4,36,Female,30000,Midwest,Service
135,2013,9,-30,2,4,30,583,57,1,72,Male,50000,Midwest,Service
136,2007,4,-97,7,4,6,284,52,6,57,Other,70000,West,Billing
137,2011,4,92,8,3,27,322,36,10,24,Other,70000,Midwest,Service
138,2010,6,42,6,5,31,426,43,6,22,Male,80000,Midwest,Service
139,2012,10,6,6,5,26,203,75,5,64,Female,80000,East,Service
140,2013,5,49,1,2,38,284,44,1,59,Female,50000,Midwest,Service
141,2009,10,74,4,1,31,495,96,4,41,Female,50000,East,Technical
142,2005,6,-8,1,3,14,306,44,9,48,Female,50000,North,Billing
143,2014,1,73,5,5,19,493,80,10,58,Female,50000,West,Technical
144,2013,9,41,2,2,46,531,37,5,24,Female,60000,Midwest,Technical
145,2019,2,77,5,1,31,470,98,2,28,Other,60000,Midwest,Service
146,2013,5,47,9,3,27,98,91,4,26,Female,90000,East,Technical
147,2021,9,77,3,3,21,538,80,6,66,Female,70000,North,Service
148,2021,4,11,8,5,13,355,92,4,48,Female,90000,East,Billing
149,2016,3,60,3,3,54,96,97,10,58,Other,60000,East,Technical
150,2011,7,18,6,2,40,333,45,5,20,Male,70000,Midwest,Technical
151,2006,6,6,4,3,31,513,53,3,39,Other,40000,North,Service
152,2007,8,-58,8,4,20,577,35,6,57,Female,60000,West,Technical
153,2021,3,-89,6,2,40,322,86,4,68,Female,90000,North,Technical
154,2009,5,6,8,1,52,188,60,3,37,Other,70000,Midwest,Technical
155,2021,10,17,1,1,55,178,35,3,49,Female,50000,South,Billing
156,2021,4,-81,5,5,37,56,58,5,65,Male,30000,Midwest,Billing
157,2021,4,65,1,5,59,277,96,3,24,Female,90000,South,Technical
158,2006,4,30,1,4,35,130,32,10,77,Female,60000,North,Technical
159,2006,5,55,5,1,10,125,57,1,24,Female,80000,South,Service
160,2009,8,83,7,1,14,413,77,5,37,Female,60000,East,Billing
161,2005,6,-11,3,1,20,311,63,9,42,Other,60000,Midwest,Billing
162,2005,3,6,6,1,8,351,62,4,62,Other,80000,Midwest,Billing
163,2006,10,-88,9,3,58,425,96,5,48,Female,70000,Midwest,Technical
164,2016,5,-35,7,2,26,307,98,8,61,Female,30000,Midwest,Service
165,2010,6,-64,3,2,17,322,63,1,41,Female,80000,Midwest,Service
166,2013,5,76,6,4,20,322,86,5,57,Other,90000,South,Technical
167,2015,5,-35,4,3,56,322,73,5,30,Female,30000,Midwest,Technical
168,2021,8,-65,3,1,33,323,42,7,69,Male,60000,Midwest,Service
169,2013,7,6,9,1,10,424,53,5,65,Male,40000,Midwest,Service
170,2009,5,-75,5,5,31,542,73,5,56,Other,60000,East,Billing
171,2006,10,6,1,5,15,209,86,1,21,Female,70000,North,Technical
172,2010,6,99,2,4,28,264,45,7,78,Male,40000,South,Billing
173,2015,4,7,7,1,33,366,50,1,29,Other,40000,Midwest,Service
174,2020,9,67,1,4,7,37,80,3,48,Male,30000,Midwest,Billing
175,2020,4,-58,6,3,56,472,50,6,18,Female,70000,North,Service
176,2013,1,49,7,3,14,568,89,6,79,Other,40000,West,Service
177,2013,7,47,9,1,5,120,80,7,34,Other,50000,North,Billing
178,2010,7,6,8,3,56,301,50,1,19,Female,40000,West,Technical
179,2020,4,-72,6,1,47,322,35,7,23,Male,50000,North,Billing
180,2007,3,-61,3,5,30,248,94,2,61,Male,60000,West,Billing
181,2008,8,57,8,4,16,147,87,6,75,Other,50000,Midwest,Technical
182,2007,5,27,7,3,18,144,35,8,28,Male,50000,Midwest,Technical
183,2011,10,-100,3,2,29,292,94,5,70,Male,30000,Midwest,Billing
