ATM_ID,Location_Type,Manufacturer,Year_of_Installation,Service_Contract_Type,Last_Maintenance_Date,Frequency_of_Maintenance,Downtime_Duration_hours,Number_of_Incidents,Maintenance_Costs_USD,Transaction_Volumes,Average_Withdrawal_Amount,Card_Reader_Error_Rate_percent,Cash_Dispenser_Jam_Rate_percent,ATM_Age_Years
ATM_1,Standalone,Wincor Nixdorf,2009,Parts-Only,10-06-2016,2,30.59,1,478.33,4692,81.27,2.37,2.23,14
ATM_2,Airport,Wincor Nixdorf,2014,Full-Service,28-09-2022,4,42.31,2,298.51,11768,93.71,0.7,1.88,17
ATM_3,Standalone,Wincor Nixdorf,2008,Self-Service,06-12-2020,3,67.49,7,656,10191,109.76,2.46,3.42,11
ATM_4,Airport,Diebold,2002,Self-Service,07-09-2016,2,58.26,5,517,10191,91.29,1.86,2.43,13
ATM_5,Standalone,Diebold,2009,Full-Service,15-11-2009,2,39.61,3,504.05,11274,94.51,3.4,0.76,22
ATM_6,Standalone,Diebold,2010,Parts-Only,24-03-2012,0,51.38,1,348.31,17975,93.83,3.82,1.46,12
ATM_7,Standalone,Diebold,2017,Full-Service,05-11-2014,2,61.75,1,704.73,2100,122.25,3.78,3.78,18
ATM_8,Airport,NCR,2011,Parts-Only,18-04-2013,0,95.08,2,514.99,13361,80.55,3.57,1.66,12
ATM_9,Standalone,Diebold,2013,Self-Service,03-06-2000,2,47.91,6,805.8,8088,106.69,2.53,1.83,1
ATM_10,Bank Branch,Diebold,2014,Self-Service,21-02-2011,0,47.84,3,523.4,7936,100.91,2.6,4.28,2
ATM_11,Airport,NCR,2008,Self-Service,05-09-2015,1,33.63,0,456.05,12570,94.69,3.8,0.8,12
ATM_12,Airport,Wincor Nixdorf,2007,Parts-Only,10-07-2008,2,36.42,4,588.64,19984,103.58,3.85,2.99,21
ATM_13,Airport,NCR,2019,Self-Service,03-06-2000,0,72.82,4,211.35,14636,109.81,2.65,4.35,16
ATM_14,Shopping Mall,Wincor Nixdorf,2010,Parts-Only,20-02-2001,1,50.52,3,825.78,12784,88.79,1.16,0.21,12
ATM_15,Shopping Mall,Wincor Nixdorf,2013,Self-Service,10-10-2000,1,54.29,5,630.32,1712,121.78,4.95,1.81,11
ATM_16,Standalone,Diebold,2012,Self-Service,21-07-2007,1,48.58,1,544.01,12293,100.57,0.98,3.2,17
ATM_17,Shopping Mall,NCR,2022,Self-Service,21-12-2007,0,40.55,2,504.05,13425,100.65,2.65,4.83,12
ATM_18,Standalone,NCR,2019,Self-Service,24-10-2002,2,58.43,3,552.58,7299,81.94,0.75,0.54,23
ATM_19,Airport,Diebold,2000,Parts-Only,19-01-2017,1,62.74,1,175.63,9362,112.34,2.65,3.53,16
ATM_20,Bank Branch,Diebold,2021,Parts-Only,15-06-2014,1,57.85,2,225.69,10191,74.67,4.82,4.03,1
ATM_21,Standalone,NCR,2019,Full-Service,08-07-2011,2,69.08,1,445.46,5525,102.71,3.56,2.6,20
ATM_22,Standalone,NCR,2005,Full-Service,04-03-2009,1,62.54,2,705.83,7270,53.82,0.96,0.11,6
ATM_23,Bank Branch,Wincor Nixdorf,2018,Full-Service,16-01-2006,2,41.78,1,692.36,6774,140.04,0.24,0.93,13
ATM_24,Bank Branch,Wincor Nixdorf,2005,Full-Service,10-07-2005,0,48.08,2,541.64,3547,124.92,2.65,4.34,5
ATM_25,Shopping Mall,Diebold,2013,Parts-Only,31-01-2020,1,50.49,3,510.19,1063,100.65,4.81,1.14,21
ATM_26,Standalone,Diebold,2012,Parts-Only,07-09-2020,1,50.75,3,559.37,12280,85.39,2.65,4.43,18
ATM_27,Bank Branch,NCR,2014,Self-Service,26-10-2020,2,65.87,2,328.59,1542,100.3,2.33,2.71,6
ATM_28,Standalone,Wincor Nixdorf,2022,Self-Service,02-08-2002,2,53.43,1,484.03,19591,102.34,4.53,2.6,22
ATM_29,Standalone,Wincor Nixdorf,2012,Parts-Only,17-01-2002,2,49.66,0,229.31,13170,116.89,0.28,3.27,16
ATM_30,Standalone,Diebold,2022,Self-Service,09-07-2003,3,54.22,3,258.86,11006,106.2,0.94,0.57,10
ATM_31,Shopping Mall,Diebold,2017,Self-Service,25-12-2014,1,50.49,4,612.66,9236,102.49,4.33,1.13,12
ATM_32,Airport,NCR,2000,Full-Service,14-04-2017,2,50.49,10,665.49,7073,80.2,4.5,0.33,12
