ATM_ID,Location_Type,Manufacturer,Year_of_Installation,Service_Contract_Type,Last_Maintenance_Date,Frequency_of_Maintenance,Downtime_Duration_hours,Number_of_Incidents,Maintenance_Costs_USD,Transaction_Volumes,Average_Withdrawal_Amount,Card_Reader_Error_Rate_percent,Cash_Dispenser_Jam_Rate_percent,ATM_Age_Years
ATM_1,Standalone,Wincor Nixdorf,2009,Parts-Only,10-06-2016,2,30.58826229,1,478.3331801,4692,81.27400752,2.369994985,2.230596383,14
ATM_2,Airport,Wincor Nixdorf,2014,Full-Service,28-09-2022,4,42.31207572,2,298.5141025,11768,93.71334137,0.696642604,1.884048104,17
ATM_3,,Wincor Nixdorf,2008,Self-Service,06-12-2020,3,67.49465961,7,656.0032742,,109.7614109,2.456715323,3.423664758,11
ATM_4,Airport,Diebold,2002,Self-Service,07-09-2016,2,58.26243516,5,517.0039491,,91.2948541,1.857732146,2.432874787,13
ATM_5,Standalone,Diebold,2009,Full-Service,15-11-2009,2,39.60938336,,,11274,94.50645543,3.396232484,0.757148991,22
ATM_6,,Diebold,2010,Parts-Only,24-03-2012,0,51.37852138,1,348.3105927,17975,93.82516628,3.821010407,1.460549247,
ATM_7,Standalone,Diebold,2017,Full-Service,05-11-2014,2,61.7477149,1,704.7289966,2100,122.2538674,3.782022991,3.776794457,18
ATM_8,Airport,NCR,2011,Parts-Only,18-04-2013,0,95.08325406,2,514.9885875,13361,80.5483685,3.572670028,1.660740522,
ATM_9,Standalone,Diebold,2013,Self-Service,,2,47.90624196,6,805.7951904,8088,106.6857519,2.530332322,1.825476462,1
ATM_10,Bank Branch,Diebold,2014,Self-Service,21-02-2011,0,47.84334867,,523.399787,7936,100.9061072,2.597256558,4.276733701,2
ATM_11,Airport,NCR,2008,,05-09-2015,1,33.63176732,0,456.051383,12570,94.68591411,3.800735665,0.802835272,12
ATM_12,Airport,Wincor Nixdorf,2007,Parts-Only,10-07-2008,2,36.42070868,4,588.63912,19984,103.5777212,3.84808908,2.987146912,21
,Airport,NCR,2019,Self-Service,03-06-2000,0,72.81820571,4,211.3547987,14636,109.8060155,,4.345641657,16
,Shopping Mall,Wincor Nixdorf,2010,Parts-Only,20-02-2001,1,50.52334312,3,825.7849213,12784,88.79418224,1.159936269,0.21291218,
ATM_15,Shopping Mall,Wincor Nixdorf,2013,Self-Service,10-10-2000,1,54.28727879,5,630.3153937,1712,121.7758906,4.952428365,1.814462214,11
ATM_16,Standalone,Diebold,,Self-Service,21-07-2007,1,48.58040705,1,544.0072731,12293,100.5707398,0.984059386,3.198882369,17
ATM_17,Shopping Mall,NCR,2022,Self-Service,21-12-2007,0,40.55108879,2,,13425,,,4.830657767,12
ATM_18,,NCR,2019,Self-Service,24-10-2002,2,58.43208191,,552.5754568,7299,81.93560965,0.752433621,0.540692939,23
ATM_19,Airport,,2000,Parts-Only,19-01-2017,1,62.74473281,1,175.6314265,9362,112.3379894,,3.527552664,16
ATM_20,Bank Branch,,2021,Parts-Only,15-06-2014,1,57.85237084,2,225.6911185,,74.66700516,4.817553777,4.03388458,1
,Standalone,NCR,2019,Full-Service,08-07-2011,2,69.08053845,1,445.4565124,5525,102.7054957,3.556560619,,20
,Standalone,NCR,2005,Full-Service,04-03-2009,1,62.53754546,2,705.8294637,7270,53.81571823,0.958593287,0.11406023,6
ATM_23,Bank Branch,Wincor Nixdorf,2018,Full-Service,16-01-2006,,41.77904066,1,692.3594905,6774,140.0363562,0.241398388,0.926321992,13
ATM_24,Bank Branch,Wincor Nixdorf,2005,Full-Service,10-07-2005,0,48.0821497,2,541.6408283,3547,124.9160369,,4.344054717,5
ATM_25,Shopping Mall,Diebold,2013,Parts-Only,31-01-2020,1,,3,510.1910292,1063,,4.813542959,1.139046765,21
ATM_26,Standalone,Diebold,,Parts-Only,07-09-2020,1,50.7462038,,559.3680812,12280,85.39338884,,4.433840464,18
ATM_27,Bank Branch,NCR,2014,Self-Service,26-10-2020,2,65.86593856,2,328.5925721,1542,100.3029669,2.329222324,2.714331395,6
ATM_28,Standalone,Wincor Nixdorf,2022,Self-Service,02-08-2002,2,53.43469079,1,484.032882,19591,102.3422307,4.534392736,,22
ATM_29,,Wincor Nixdorf,,Parts-Only,17-01-2002,,49.65599266,0,229.3051489,13170,116.8933051,0.278032863,3.272321956,16
